[05/15/22|07:03:07][INFO]:	Engine::Init(36):	Initializing boot sequence... Please wait...
[05/15/22|07:03:08][INFO]:	Engine::Init(58):	Boot sequence complete!
[05/15/22|07:03:08][INFO]:	Engine::PrintRuntimeInfo(214):	Astraeus Engine is running @ 120 fps
[05/15/22|07:03:08][INFO]:	Engine::PrintRuntimeInfo(219):	Astraeus Engine's Window is running @ 1280 x 720
[05/15/22|07:03:08][INFO]:	Engine::LoadApplication(70):	Loading application... Please wait...
[05/15/22|07:03:08][INFO]:	World::SpawnActor(27):	Spawning actor in world...
[05/15/22|07:03:08][INFO]:	World::SpawnActor(42):	Spawned actor!
[05/15/22|07:03:08][INFO]:	RendererManager::OnCreate(45):	Creating Vulkan Renderer...
[05/15/22|07:03:08][INFO]:	Hephaestus::Renderer::OnCreate(42):	Vulkan Renderer has been created!
[05/15/22|07:03:08][INFO]:	World::SpawnActor(27):	Spawning actor in world...
[05/15/22|07:03:08][INFO]:	World::SpawnActor(42):	Spawned actor!
[05/15/22|07:03:08][INFO]:	Engine::LoadApplication(106):	Load complete!
[05/15/22|07:03:08][INFO]:	Engine::PrintRuntimeInfo(214):	Astraeus Engine is running @ 120 fps
[05/15/22|07:03:08][INFO]:	Engine::PrintRuntimeInfo(219):	Astraeus Engine's Window is running @ 1280 x 720
[05/15/22|07:03:08][INFO]:	Engine::PrintRuntimeInfo(225):	Astraeus Engine is running the Test Run application
